Time	 Point1PX	 Point1PY	 Point1PZ	 Point1FX	 Point1FY	 Point1FZ	 Rod1NAPX	 Rod1NAPY	 Rod1NAPZ	 Rod1NBPX	 Rod1NBPY	 Rod1NBPZ	 
(s)	 (m)       	 (m)       	 (m)       	 (N)       	 (N)       	 (N)       	 (m)       	 (m)       	 (m)       	 (m)       	 (m)       	 (m)       	 
1.99	 0	 0	 -0.652659	 0	 0	 -381.014	 -1	 0	 -1	 1	 0	 -1	 
2	 0	 0	 -1.26131	 0	 0	 166.837	 -1	 0	 -1	 1	 0	 -1	 
2.01	 0	 0	 -0.825232	 0	 0	 -51.5316	 -1	 0	 -1	 1	 0	 -1	 
2.02	 0	 0	 -1.08821	 0	 0	 6.03463	 -1	 0	 -1	 1	 0	 -1	 
2.03	 0	 0	 -0.998476	 0	 0	 -0.490333	 -1	 0	 -1	 1	 0	 -1	 
2.04	 0	 0	 -0.91494	 0	 0	 -6.89737	 -1	 0	 -1	 1	 0	 -1	 
2.05	 0	 0	 -1.17172	 0	 0	 50.1821	 -1	 0	 -1	 1	 0	 -1	 
2.06	 0	 0	 -0.741839	 0	 0	 -166.818	 -1	 0	 -1	 1	 0	 -1	 
2.07	 0	 0	 -1.34434	 0	 0	 378.76	 -1	 0	 -1	 1	 0	 -1	 
2.08	 0	 0	 -0.570457	 0	 0	 -703.639	 -1	 0	 -1	 1	 0	 -1	 
2.09	 0	 0	 -1.51335	 0	 0	 1140.13	 -1	 0	 -1	 1	 0	 -1	 
2.1	 0	 0	 -0.405509	 0	 0	 -1678.91	 -1	 0	 -1	 1	 0	 -1	 
2.11	 0	 0	 -1.67215	 0	 0	 2295.37	 -1	 0	 -1	 1	 0	 -1	 
2.12	 0	 0	 -0.255406	 0	 0	 -2958.13	 -1	 0	 -1	 1	 0	 -1	 
2.13	 0	 0	 -1.81082	 0	 0	 3629.82	 -1	 0	 -1	 1	 0	 -1	 
2.14	 0	 0	 -0.131128	 0	 0	 -4269.58	 -1	 0	 -1	 1	 0	 -1	 
2.15	 0	 0	 -1.9179	 0	 0	 4841.06	 -1	 0	 -1	 1	 0	 -1	 
2.16	 0	 0	 -0.0439336	 0	 0	 -5306.95	 -1	 0	 -1	 1	 0	 -1	 
2.17	 0	 0	 -1.98298	 0	 0	 5642.83	 -1	 0	 -1	 1	 0	 -1	 
2.18	 0	 0	 -0.00274625	 0	 0	 -5824.47	 -1	 0	 -1	 1	 0	 -1	 
2.19	 0	 0	 -1.99915	 0	 0	 5845.49	 -1	 0	 -1	 1	 0	 -1	 
2.2	 0	 0	 -0.0120441	 0	 0	 -5700.06	 -1	 0	 -1	 1	 0	 -1	 
2.21	 0	 0	 -1.96464	 0	 0	 5401.34	 -1	 0	 -1	 1	 0	 -1	 
2.22	 0	 0	 -0.0708023	 0	 0	 -4963	 -1	 0	 -1	 1	 0	 -1	 
2.23	 0	 0	 -1.88321	 0	 0	 4415.07	 -1	 0	 -1	 1	 0	 -1	 
2.24001	 0	 0	 -0.170918	 0	 0	 -3807.26	 -1	 0	 -1	 1	 0	 -1	 
2.25001	 0	 0	 -1.76534	 0	 0	 3140.73	 -1	 0	 -1	 1	 0	 -1	 
2.26001	 0	 0	 -0.305548	 0	 0	 -2471.6	 -1	 0	 -1	 1	 0	 -1	 
2.27001	 0	 0	 -1.61835	 0	 0	 1838.92	 -1	 0	 -1	 1	 0	 -1	 
2.28001	 0	 0	 -0.461997	 0	 0	 -1276.98	 -1	 0	 -1	 1	 0	 -1	 
2.29001	 0	 0	 -1.455	 0	 0	 810.342	 -1	 0	 -1	 1	 0	 -1	 
2.30001	 0	 0	 -0.629969	 0	 0	 -455.908	 -1	 0	 -1	 1	 0	 -1	 
2.31001	 0	 0	 -1.28417	 0	 0	 213.113	 -1	 0	 -1	 1	 0	 -1	 
2.32001	 0	 0	 -0.802297	 0	 0	 -74.1181	 -1	 0	 -1	 1	 0	 -1	 
2.33001	 0	 0	 -1.11116	 0	 0	 12.6477	 -1	 0	 -1	 1	 0	 -1	 
2.34001	 0	 0	 -0.975518	 0	 0	 -0.614706	 -1	 0	 -1	 1	 0	 -1	 
2.35001	 0	 0	 -0.937898	 0	 0	 -3.03249	 -1	 0	 -1	 1	 0	 -1	 
2.36001	 0	 0	 -1.14878	 0	 0	 32.7567	 -1	 0	 -1	 1	 0	 -1	 
2.37001	 0	 0	 -0.764738	 0	 0	 -127.576	 -1	 0	 -1	 1	 0	 -1	 
2.38001	 0	 0	 -1.32157	 0	 0	 311.874	 -1	 0	 -1	 1	 0	 -1	 
2.39001	 0	 0	 -0.59294	 0	 0	 -606.569	 -1	 0	 -1	 1	 0	 -1	 
2.40001	 0	 0	 -1.49136	 0	 0	 1013.7	 -1	 0	 -1	 1	 0	 -1	 
2.41001	 0	 0	 -0.426733	 0	 0	 -1527.47	 -1	 0	 -1	 1	 0	 -1	 
2.42001	 0	 0	 -1.65202	 0	 0	 2125.95	 -1	 0	 -1	 1	 0	 -1	 
2.43001	 0	 0	 -0.274069	 0	 0	 -2780.02	 -1	 0	 -1	 1	 0	 -1	 
2.44001	 0	 0	 -1.79401	 0	 0	 3453.21	 -1	 0	 -1	 1	 0	 -1	 
