      Time        POINT1PX        POINT1PY        POINT1PZ        POINT1FX        POINT1FY        POINT1FZ        ROD1NAPX        ROD1NAPY        ROD1NAPZ        ROD1NBPX        ROD1NBPY        ROD1NBPZ
       (s)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)
    3.3500   0.0000000E+00   0.0000000E+00  -1.0009052E+00   0.0000000E+00   0.0000000E+00  -2.6381445E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.3600   0.0000000E+00   0.0000000E+00  -1.0022056E+00   0.0000000E+00   0.0000000E+00   7.3378044E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.3700   0.0000000E+00   0.0000000E+00  -1.0022864E+00   0.0000000E+00   0.0000000E+00   8.5102501E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.3800   0.0000000E+00   0.0000000E+00  -1.0010171E+00   0.0000000E+00   0.0000000E+00  -2.4099125E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.3900   0.0000000E+00   0.0000000E+00  -1.0000186E+00   0.0000000E+00   0.0000000E+00  -3.4322872E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.4000   0.0000000E+00   0.0000000E+00  -9.9963796E-01   0.0000000E+00   0.0000000E+00  -3.4675465E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.4100   0.0000000E+00   0.0000000E+00  -9.9988538E-01   0.0000000E+00   0.0000000E+00  -3.4134632E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.4200   0.0000000E+00   0.0000000E+00  -1.0007527E+00   0.0000000E+00   0.0000000E+00  -2.9587383E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.4300   0.0000000E+00   0.0000000E+00  -1.0020447E+00   0.0000000E+00   0.0000000E+00   5.1643810E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.4400   0.0000000E+00   0.0000000E+00  -1.0023865E+00   0.0000000E+00   0.0000000E+00   1.0160638E+02  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.4500   0.0000000E+00   0.0000000E+00  -1.0012083E+00   0.0000000E+00   0.0000000E+00  -1.6998022E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.4600   0.0000000E+00   0.0000000E+00  -1.0001489E+00   0.0000000E+00   0.0000000E+00  -3.4316036E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
    3.4700   0.0000000E+00   0.0000000E+00  -9.9969792E-01   0.0000000E+00   0.0000000E+00  -3.4480488E+01  -1.0000000E+00   0.0000000E+00  -1.0000000E+00   1.0000000E+00   0.0000000E+00  -1.0000000E+00
