Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Seg1Te 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(N) 	
0.0187	 -1.23204e-14	 0	 -20.3863	 -3.49217e-17	 0	 -20.886	 0	 
0.0188	 -1.39299e-14	 0	 -20.3983	 -3.82089e-17	 0	 -20.898	 0	 
0.0189	 -1.5593e-14	 0	 -20.4102	 -4.1534e-17	 0	 -20.9101	 0	 
0.019	 -1.72515e-14	 0	 -20.422	 -4.49341e-17	 0	 -20.9221	 35924.5	 
0.0191	 -1.88199e-14	 0	 -20.4338	 -4.9369e-17	 0	 -20.9341	 130965	 
0.0192	 -2.01779e-14	 0	 -20.4456	 -5.69943e-17	 0	 -20.946	 197849	 
0.0193	 -2.116e-14	 0	 -20.4574	 -6.95741e-17	 0	 -20.9578	 215776	 
0.0194	 -2.15433e-14	 0	 -20.4691	 -8.76888e-17	 0	 -20.9695	 181215	 
0.0195	 -2.10322e-14	 0	 -20.4808	 -1.10449e-16	 0	 -20.981	 108108	 
0.0196	 -1.92391e-14	 0	 -20.4925	 -1.35866e-16	 0	 -20.9925	 22300.9	 
0.0197	 -1.5661e-14	 0	 -20.5041	 -1.61879e-16	 0	 -21.004	 0	 
0.0198	 -9.65136e-15	 0	 -20.5157	 -1.87892e-16	 0	 -21.0155	 0	 
0.0199	 -3.85384e-16	 0	 -20.5272	 -2.1392e-16	 0	 -21.027	 0	 
0.02	 1.31811e-14	 0	 -20.5387	 -2.39965e-16	 0	 -21.0385	 0	 
0.0201	 3.23616e-14	 0	 -20.5502	 -2.66008e-16	 0	 -21.05	 0	 
0.0202	 5.87986e-14	 0	 -20.5616	 -2.91999e-16	 0	 -21.0614	 0	 
0.0203	 9.45347e-14	 0	 -20.5731	 -3.1784e-16	 0	 -21.0729	 0	 
0.0204	 1.42098e-13	 0	 -20.5844	 -3.4337e-16	 0	 -21.0844	 0	 
0.0205	 2.04602e-13	 0	 -20.5958	 -3.67147e-16	 0	 -21.0959	 49221.8	 
0.0206	 2.85864e-13	 0	 -20.6071	 -3.75718e-16	 0	 -21.1073	 109977	 
0.0207	 3.90549e-13	 0	 -20.6184	 -3.42818e-16	 0	 -21.1187	 146515	 
0.0208	 5.24333e-13	 0	 -20.6297	 -2.38155e-16	 0	 -21.13	 147811	 
0.0209	 6.94104e-13	 0	 -20.641	 -3.96551e-17	 0	 -21.1412	 115090	 
0.021	 9.0818e-13	 0	 -20.6522	 2.52052e-16	 0	 -21.1523	 60733.6	 
0.0211	 1.17658e-12	 0	 -20.6634	 6.0384e-16	 0	 -21.1634	 3585.24	 
0.0212	 1.51131e-12	 0	 -20.6746	 9.64886e-16	 0	 -21.1745	 0	 
0.0213	 1.92673e-12	 0	 -20.6857	 1.32328e-15	 0	 -21.1856	 0	 
0.0214	 2.43995e-12	 0	 -20.6968	 1.67989e-15	 0	 -21.1967	 0	 
0.0215	 3.07135e-12	 0	 -20.7079	 2.03604e-15	 0	 -21.2078	 0	 
0.0216	 3.84507e-12	 0	 -20.719	 2.3937e-15	 0	 -21.2188	 0	 
0.0217	 4.78966e-12	 0	 -20.73	 2.75569e-15	 0	 -21.2299	 0	 
0.0218	 5.9388e-12	 0	 -20.741	 3.12609e-15	 0	 -21.241	 5935.72	 
0.0219	 7.3321e-12	 0	 -20.752	 3.61145e-15	 0	 -21.2521	 53151.8	 
0.022	 9.01597e-12	 0	 -20.763	 4.62998e-15	 0	 -21.2631	 93313.6	 
0.0221	 1.10448e-11	 0	 -20.7739	 6.72482e-15	 0	 -21.2741	 113475	 
